Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils jauniešu deju kolektīvs „Zalktis”,Zane Behmane,"58,0",I pakāpe,"43,0",15
Daugavpils novads,Daugavpils apriņķis,A,Daugavpils novada kultūras centra “Vārpa” Tautas deju ansamblis “Līksme”,Aija Daugele,"57,8",I pakāpe,"42,8",15
Liepājas pilsēta,Liepājas apriņķis,A,Liepājas Tautas mākslas un kultūras centra Tautas deju ansamblis “Rucavietis”,Justs Celms,"56,7",I pakāpe,"41,7",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils jauniešu deju kopa „Bramaņi”,Taiga Ludborža,"56,7",I pakāpe,"41,7",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas pašvaldības kultūras iestāžu apvienības Kultūras pils „Ziemeļblāzma” deju ansamblis „Pērkons”,Andris Bergmanis,"56,7",I pakāpe,"41,7",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils Tautas deju ansamblis „Dardedze”,Ilze Kronberga,"56,3",I pakāpe,"41,3",15
Rīgas pilsēta,Rīgas pilsēta,A,Andreja Pumpura Rīgas 11. pamatskolas jauniešu deju kolektīvs “DZĪPARS”,Renāte Linde,"55,5",I pakāpe,"40,5",15
Cēsu novads,Cēsu apriņķis,A,"Cēsu novada pašvaldības aģentūras ""Cēsu Kultūras un Tūrisma centrs"" Tautas deju ansamblis ""Raitais solis""",Andis Kozaks,"54,5",II pakāpe,"39,5",15
Ventspils pilsēta,Ventspils apriņķis,A,Ventspils pilsētas domes Kultūras centra Ventspils Augstskolas jauniešu deju kolektīvs “Strautuguns”    ,Ineta Judzika,"54,3",II pakāpe,"39,3",15
Tukuma novads,Tukuma apriņķis,A,Tukuma novada Tukuma pilsētas kultūras nama Tautas deju ansamblis „Svīta” ,Gatis Konrads,"53,7",II pakāpe,"38,7",15
Balvu novads,Balvu apriņķis,Bērni,"Balvu Kultūras un atpūtas centra Bērnu deju kolektīvs ""Balvu vilciņš""",Zane Meiere,"48,7",Augstākā pakāpe,"48,7",0
Jelgavas pilsēta,Jelgavas pilsēta,Bērni,"Jelgavas pilsētas pašvaldības iestādes ""Kultūra"" Bērnu un jauniešu deju kolektīvs ""Vēja zirdziņš""",Alda Skrastiņa,"48,5",Augstākā pakāpe,"48,5",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Rīgas Franču liceja deju kolektīvs „AUSEKLĪTIS”,Iveta Pētersone-Lazadāne,"48,5",Augstākā pakāpe,"48,5",0
